Nro,Case de Prueba,deviceId,platform,application,access_token,client_id,codigo,codbody,rtoken
11,Listar opciones con X-Application caracteres especiales - resultado 400,1234567890,AND,.$+,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,
12,Listar opciones con X-Application menor a carateres permitidos - resultado 400,1234567890,IOS,CO,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,
13,Listar opciones con X-Application mayor a carateres permitidos - resultado 400,1234567890,AND,CUST,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,
14,Listar opciones con access_token en blanco - resultado 401,1234567890,IOS,CUS,,7780216a-3ccb-38e6-a457-ace9052f0fd8,401,GEN_ALL_01,NO
15,Listar opciones con access_token caracteres especiales - resultado 401,1234567890,AND,CUS,#$%&+*-*.**--632484hew983489ewuhe8932hiuwe98$#$&&%%$#??=lk1,7780216a-3ccb-38e6-a457-ace9052f0fd8,401,GEN_ALL_04,NO
16,Listar opciones con access_token expirado - resultado 401,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJhY3RpdmVTZXNzaW9uIjpmYWxzZSwiaWQiOiIwNjY5ZWQyYi1jNjQyLTQwN2UtOGJhYS03M2MzMWU1NGI4OGEiLCJ0eXBlIjoiQUNDRVNTIiwiZXhwIjoxNTcwNDgyNTA0LCJleHBpcmF0aW9uRGF0ZSI6MTU3MDQ4MjUwNDU0N30.aBC2BWIJ6D85ejC51jjw_iqQ1TNhxOhrUdflirOpuLAP7M9mYM3AN9LTTBq9xlDmbXKtmprvg6CKK860QzhH5g,7780216a-3ccb-38e6-a457-ace9052f0fd8,401,GEN_ALL_03,NO
17,Listar opciones con client_id en blanco - resultado 401,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJhY3RpdmVTZXNzaW9uIjpmYWxzZSwiaWQiOiIwNjY5ZWQyYi1jNjQyLTQwN2UtOGJhYS03M2MzMWU1NGI4OGEiLCJ0eXBlIjoiQUNDRVNTIiwiZXhwIjoxNTcwNDgyNTA0LCJleHBpcmF0aW9uRGF0ZSI6MTU3MDQ4MjUwNDU0N30.aBC2BWIJ6D85ejC51jjw_iqQ1TNhxOhrUdflirOpuLAP7M9mYM3AN9LTTBq9xlDmbXKtmprvg6CKK860QzhH5g,,401,GEN_ALL_03,
18,Listar opciones con client_id caracteres especiales - resultado 401,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,#$&+*._#-3ccb-38e6-a457-ace9052f0fd8,401,GEN_ALL_04,
19,Listar opciones con client_id invalido - resultado 401,1234567890,IOS,CUS,9237652323523uywetweuieiuewtuiwet98329827389572385iweiuweiuewyet983279823iueiuet,7780216a-3ccb-38h6-a457-ace9052f0fd8,401,GEN_ALL_04,
20,Listar opciones con error interno - resultado 500,1234567890,null,null,null,7780216a-3ccb-38e6-a457-ace9052f0fd8,500,GEN_ALL_02,
