Nro.,Case de Prueba,deviceId,platform,application,authorization,qrcode,codigo,codbody,rtoken
11,Validar QR con X-Application caracteres especiales - resultado 400,1234567890,AND,.$+,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
12,Validar QR con X-Application menor a carateres permitidos - resultado 400,1234567890,IOS,CO,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
13,Validar QR con X-Application mayor a carateres permitidos - resultado 400,1234567890,AND,CUST,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
14,Validar QR con Authorization en blanco - resultado 400,1234567890,IOS,CUS,,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,NO
15,Validar QR con Authorization caracteres especiales - resultado 403,1234567890,AND,CUS,#$%&+*-*.**--632484hew983489ewuhe8932hiuwe98$#$&&%%$#??=lk1,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,403,GEN_ALL_04,NO
16,Validar QR con Authorization expirado - resultado 401,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJhY3RpdmVTZXNzaW9uIjp0cnVlLCJhcHBsaWNhdGlvbiI6IkNVUyIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImlkIjoiMDY2OWVkMmItYzY0Mi00MDdlLThiYWEtNzNjMzFlNTRiODhhIiwidHlwZSI6IkFDQ0VTUyIsImV4cCI6MTU3MTY4OTg2NiwiZGV2aWNlSWQiOiJ1bmRlZmluZWQiLCJtdWx0aWRldmljZSI6ZmFsc2UsInBsYXRmb3JtIjoiQU5EIiwiZXhwaXJhdGlvbkRhdGUiOjE1NzE2ODk4NjY3OTB9.gwShENYim6rVlDubBivH_20ZtUIx2ogC3jDpcoMCdcuSd04xJbxTgr_DybwjbtfNPCHCEHT23Y3QMNNNsEgVuQ,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,401,GEN_ALL_03,NO
17,Validar QR con Authorization diferente al logueado - resultado 403,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,403,GEN_ALL_04,NO
18,Validar QR con Authorization inexistente - resultado 403,1234567890,IOS,CUS,9237652323523uywetweuieiuewtuiwet98329827389572385iweiuweiuewyet983279823iueiuet,P2P-c436add2-e63c-407d-b179-6c5ff5e9ceb9,403,GEN_ALL_04,NO
19,Validar QR con qrCode en blanco - resultado 400,1234567890,IOS,,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,,400,GEN_ALL_01,
20,Validar QR con qrCode caracteres especiales - resultado 400,1234567890,AND,.$+,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,9+#.*-&$$#%&*-.*****%%&&&&$$##&&&&&******+++,400,GEN_ALL_01,
21,Validar QR con qrCode menor a carateres permitidos - resultado 400,1234567890,IOS,CO,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,asdfghjklqwertyuiopl1234567890asdfghjklp,400,GEN_ALL_01,
22,Validar QR con qrCode mayor a carateres permitidos - resultado 400,1234567890,AND,CUST,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1a2s3d4g5j6k7l8z9x0c1,400,GEN_ALL_01,
23,Validar QR con qrCode diferente a tunki - resultado 400,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2T-c436add2-e63c-407d-b179-6c5ff5e9ceb9,400,GEN_ALL_01,
24,Validar QR con qrCode de usuario desactivado - resultado 422,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,P2P-01c88e52-2084-42d8-aed7-f07b66a2640a,422,USE_QRS_01,
25,Validar QR con error interno - resultado 500,null,null,null,null,984380281,500,GEN_ALL_02,
