Nro.,Case de Prueba,name,lastName,phone,email,password,confirmPassword,codigo
11,Registro nuevo cliente con phone ya existente - resultado 409,Jose Luis,Perez Chavez,984280201,joseperez011@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,409
12,Registro nuevo cliente con email menor a caracteres permitidos - resultado 400,Jose Luis,Perez Chavez,984280207,j,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
13,Registro nuevo cliente con email mayor a caracteres permitidos - resultado 400,Jose Luis,Perez Chavez,984280208,joseperez012@indigital.comjoseperez012@indigital.comjoseperez012@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
14,Registro nuevo cliente con email en blanco - resultado 400,Jose Luis,Perez Chavez,984280209,,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
15,Registro nuevo cliente con email ya existente - resultado 409,Jose Luis,Perez Chavez,987880210,joseperez01@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,409
16,Registro nuevo cliente con password menor a caracteres permitidos - resultado 400,Jose Luis,Perez Chavez,984280211,joseperez013@indigital.com,8,8,400
17,Registro nuevo cliente con password mayor a caracteres permitidos - resultado 400,Jose Luis,Perez Chavez,984280212,joseperez014@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C928D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C928D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,400
18,Registro nuevo cliente con password en blanco - resultado 400,Jose Luis,Perez Chavez,984280213,joseperez015@indigital.com,,,400
19,Registro nuevo cliente con password no coincida con confirmpassword - resultado 400,Jose Luis,Perez Chavez,984280214,joseperez016@indigital.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C91,400
20,Registro nuevo cliente con phone existente pero esta inactivo - Resultado 201,Giacarlos Julio,Cardenas Lopez,984282011,crauljc11@tunki.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C92,201
21,Registro nuevo cliente con email existente pero esta inactivo - Resultado 201,Jorge Manuel,Chumpi Palacios,989094283,nachocrisostomo10@gmail.com,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C90,8D969EEF6ECAD3C29A3A629280E686CF0C3F5D5A86AFF3CA12020C923ADC6C90,201
