Nro.,Case de Prueba,deviceId,platform,application,authorization,identifierDestination,amount,detail,codigo,codbody,rtoken
11,Transferir pago con X-Platform  Vacio - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
12,Transferir pago con X-Platform  Espacio en blanco - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta, ,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
13,Transferir pago con X-Platform  Espacios en blanco - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,   ,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
14,Transferir pago con X-Platform  Menor a la cantidad de caracteres permitidos (2) - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AN,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
15,Transferir pago con X-Platform  Mayor a la cantidad de caracteres permitidos (4) - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,ANDR,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
16,Transferir pago con X-Platform  Caracteres especiales (Extraños) - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,$#%,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
17,Transferir pago con X-Application Incorrecto - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,IOS,SUC,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
18,Transferir pago con X-Application null - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,null,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
19,Transferir pago con X-Application Vacio - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
20,Transferir pago con X-Application Espacio en blanco - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,IOS,   ,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
21,Transferir pago con X-Application Espacios en blanco - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,   ,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0zMFQyMDozODo0OC40MTUrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiUEYwTkdEdFMxc24xcXE3Y3YzVUVFNGJlSzh4R1lFUGxSelZpTEFBYUJuMFNRdGEiLCJleHAiOjE1NzI0Njc5Mjh9.kJLc4LbSHw6kMS_dn4Dh5TVC4rLIfzsEJOe4xknJYWREXYrHR8VcVnvWxtoYfZGFyvmTbIVQPWE9TD_uOhQ1hg,914995789,50,Pago de menu,400,GEN_ALL_01,
