Nro,Case de Prueba,x-device-id,x-platform,x-application,authorization,client_id,code,codigo,codbody
11,Validar código con Authorization en blanco - resultado 400,1234567890,IOS,CUS,,7780216a-3ccb-38e6-a457-ace9052f0fd8,3412,400,GEN_ALL_01
12,Validar código con Authorization expirado - resultado 403,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgxMVwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI3ODI5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTYwMzl9.ZAJ41mYPB54-uNzLonwMR2cYkW6q0YskJrzCvjN_l-GghP6HbQ3RMaC842WW8ppl06iqVew9rVV2JW6lCWpvbA,7780216a-3ccb-38e6-a457-ace9052f0fd8,3456,403,GEN_ALL_04
13,Validar código con client_id en blanco - resultado 401,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,,3412,401,GEN_ALL_0
14,Validar código con client_id caracteres especiales - resultado 401,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgxMVwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI3ODI5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTYwMzl9.ZAJ41mYPB54-uNzLonwMR2cYkW6q0YskJrzCvjN_l-GghP6HbQ3RMaC842WW8ppl06iqVew9rVV2JW6lCWpvbA,#&$&#$&&$#,3456,401,GEN_ALL_0
15,Validar código con client_id invalido - resultado 401,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgxMVwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI3ODI5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTYwMzl9.ZAJ41mYPB54-uNzLonwMR2cYkW6q0YskJrzCvjN_l-GghP6HbQ3RMaC842WW8ppl06iqVew9rVV2JW6lCWpvbA,780216a-3ccb-38e6-a457-ace9052f0fd8,3456,401,GEN_ALL_0
16,Validar código con Code en blanco - resultado 400,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,,400,GEN_ALL_01
17,Validar código con Code letras - resultado 400,1234567890,AND,COM,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,dfgh,400,GEN_ALL_01
18,Validar código con Code caracteres extraños - resultado 400,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,3#$*,400,GEN_ALL_01
19,Validar código Code con menor caracteres permitidos - resultado 400,1234567890,IOS,COM,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,234,400,GEN_ALL_01
20,Validar código Code con mayor caracteres permitidos - resultado 400,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,23456,400,GEN_ALL_01
21,Validar código Code anteriormente validado - resultado 422,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTM5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzEzMTZ9.pk_6SaZCTyEJGVeJ6i2RI8cif6cnvtNwRvQ3XU9rowBZDrB9t2f6Cbr-vnQqPwsJyDJM-VPIZgLK4b3A9q9k-g,7780216a-3ccb-38e6-a457-ace9052f0fd8,2306,422,CUS_REG_02
22,Validar código Code expirado - resultado 422,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCIwNjk5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzE1MjJ9.cJNyil27wShlz8xQriF2aMSaAnCY2-txpm5a0PiZTejy4iLdSIqgzFPiSCoRkz5H5nDG9fga1Hejaf9bAd1Sdw,7780216a-3ccb-38e6-a457-ace9052f0fd8,2306,422,CUS_REG_02
23,Validar código con Code no coincide con el enviado - resultado 422,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCIwNjk5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1MzE1MjJ9.cJNyil27wShlz8xQriF2aMSaAnCY2-txpm5a0PiZTejy4iLdSIqgzFPiSCoRkz5H5nDG9fga1Hejaf9bAd1Sdw,7780216a-3ccb-38e6-a457-ace9052f0fd8,7890,422,CUS_REG_03
24,Validar codigo con error interno - resultado 500,1234567890,IOD,CUS,%&YY,7780216h-3ccb-38e6-a457-ace9052f0fd8,7&%$,500,GEN_ALL_02
