Nro,Case de Prueba,deviceId,platform,application,Access_token,client_id,codigo,codbody,rtoken,rpw
11,Obtener datos de perfil con X-Platform  Espacios en blanco - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,   ,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,,
12,Obtener datos de perfil con X-Platform  Menor a la cantidad de caracteres permitidos (2) - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AN,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,,
13,Obtener datos de perfil con X-Platform  Mayor a la cantidad de caracteres permitidos (4) - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,ANDD,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,,
14,Obtener datos de perfil con X-Platform  Caracteres especiales (Extraños) - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,&#$,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,,
15,Obtener datos de perfil con X-Application Incorrecto - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CUZ,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,,
16,Obtener datos de perfil con X-Application Vacio - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,,
17,Obtener datos de perfil con X-Application Espacio en blanco - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND, ,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,,
18,Obtener datos de perfil con X-Application Espacios en blanco - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,   ,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,,
19,Obtener datos de perfil con X-Application Menor a la cantidad de caracteres permitidos (2) - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CU,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,,
20,Obtener datos de perfil con X-Application Mayor a la cantidad de caracteres permitidos (4) - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CUZZ,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,,
21,Obtener datos de perfil con X-Application Caracteres especiales (Extraños) - resultado 400,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,$%&,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,400,GEN_ALL_01,,
22,Obtener datos de perfil con Access_token incorrecto - resultado 401,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CUS,999eyhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA999,7780216a-3ccb-38e6-a457-ace9052f0fd8,401,GEN_ALL_04,NO,
23,Obtener datos de perfil con Access_token Modificado - resultado 401,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,IOS,CUS,99JhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,7780216a-3ccb-38e6-a457-ace9052f0fd8,401,GEN_ALL_04,NO,
24,Obtener datos de perfil con Access_token Vacio - resultado 401,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CUS,,7780216a-3ccb-38e6-a457-ace9052f0fd8,401,GEN_ALL_01,NO,
25,Obtener datos de perfil con Access_token Espacio en blanco - resultado 401,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CUS, ,7780216a-3ccb-38e6-a457-ace9052f0fd8,401,GEN_ALL_01,NO,
26,Obtener datos de perfil con Access_token Espacios en blanco - resultado 401,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CUS,   ,7780216a-3ccb-38e6-a457-ace9052f0fd8,401,GEN_ALL_01,NO,
27,Obtener datos de perfil con Access_token expirado - resultado 401,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0yNVQxNTo0NzozOS40MTMrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiMTIzNDU2Nzg5MCIsImV4cCI6MTU3MjAxODQ1OX0.no82d86cTfgk_OXHRjEJB6XUWIboYVRUi_vgBcIWc27PDgLad1-f9qA0YizBNxT8oTFYtwV5bgIKOR6q6jT5Sw,7780216a-3ccb-38e6-a457-ace9052f0fd8,401,GEN_ALL_03,NO,
28,Obtener datos de perfil con client_id en blanco - resultado 401,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0yNVQxNTo0NzozOS40MTMrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiMTIzNDU2Nzg5MCIsImV4cCI6MTU3MjAxODQ1OX0.no82d86cTfgk_OXHRjEJB6XUWIboYVRUi_vgBcIWc27PDgLad1-f9qA0YizBNxT8oTFYtwV5bgIKOR6q6jT5Sw,,401,GEN_ALL_01,NO,
29,Obtener datos de perfil con client_id caracteres especiales - resultado 401,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0yNVQxNTo0NzozOS40MTMrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiMTIzNDU2Nzg5MCIsImV4cCI6MTU3MjAxODQ1OX0.no82d86cTfgk_OXHRjEJB6XUWIboYVRUi_vgBcIWc27PDgLad1-f9qA0YizBNxT8oTFYtwV5bgIKOR6q6jT5Sw,#$&+*_*&$#,401,GEN_ALL_03,NO,
30,Obtener datos de perfil con client_id incorrecto - resultado 401,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjdlMmEzMTM1LTNiYjktNGMzMC1iYmVlLWYzNWEwOTU4ZWVhNyIsInVuaXF1ZUlkIjoiN2UyYTMxMzUtM2JiOS00YzMwLWJiZWUtZjM1YTA5NThlZWE3IiwidHlwZSI6IkFDQ0VTUyIsImV4cGlyYXRpb25EYXRlIjoiMjAxOS0xMC0yNVQxNTo0NzozOS40MTMrMDAwMCIsInJvbGVDb2RlIjoiQ1VTX1VTUiIsImFjdGl2ZVNlc3Npb24iOnRydWUsIm11bHRpRGV2aWNlIjpmYWxzZSwiYXBwbGljYXRpb24iOiJDVVMiLCJwbGF0Zm9ybSI6IkFORCIsImRldmljZUlkIjoiMTIzNDU2Nzg5MCIsImV4cCI6MTU3MjAxODQ1OX0.no82d86cTfgk_OXHRjEJB6XUWIboYVRUi_vgBcIWc27PDgLad1-f9qA0YizBNxT8oTFYtwV5bgIKOR6q6jT5Sw,5780216a-3ccb-38e6-a457-ace9052f0fd8,401,GEN_ALL_03,NO,
31,Obtener datos de perfil con error interno - resultado 500,PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta,IOS,null,99JhbGciOiJIUzUxMiJ9,7780216a-3ccb-38e6-a457-ace9052f0fd8,500,GEN_ALL_02,,
