Nro,Case de Prueba,device-id,platform,aplication,authorization,client_id,positions,termCondition,privacyPolicy,codigo,codbody
11,Registrar usuario con Autorizacion en blanco - resultado 400,1234567890,AND,CUS,,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6]",true,true,400,GEN_ALL_01
12,Registrar usuario con Autorizacion expirado  - resultado 403,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6]",true,true,403,GEN_ALL_04
13,Registrar usuario con client_id en blanco - resultado 401,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA,,"[1,2,3,4,5,6]",true,true,401,GEN_ALL_01
14,Registrar usuario con client_id caracteres especiales  - resultado 401,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9,#&#+*-:-$#&,"[1,2,3,4,5,6]",true,true,401,GEN_ALL_04
15,Registrar usuario con client_id incorrecto - resultado 401,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9,3780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6]",true,true,401,GEN_ALL_04
18,Registrar usuario con Positions en blanco resultado 400,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI0NTUxXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg1OTk3NDd9.gDQHdyE_e5ezITZ8S7uL9VzKr4Rz9BvOjV8S0-vGRbYZ7nkvCioSBlkj43mkqphll4O4BqxZsHfoQJTVRA0pFQ,7780216a-3ccb-38e6-a457-ace9052f0fd8,,true,true,400,GEN_ALL_01
19,Registrar usuario con Positions caracteres extraños resultado 400,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCIwMzQ5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg2MDE4NDd9.PtDWVshh8xd3XySXYpfASxB32r_vyCpP8fn61jGQxVLCpKU29tGD0kjDta_rtBeMqnOKI1yPMkIUIF0pB9QCAQ,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[#,$,%,(,.,*]",true,true,400,GEN_ALL_01
20,Registrar usuario con Positions menor caracteres permitidos resultado 400,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCIwMzQ5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg2MDE4NDd9.PtDWVshh8xd3XySXYpfASxB32r_vyCpP8fn61jGQxVLCpKU29tGD0kjDta_rtBeMqnOKI1yPMkIUIF0pB9QCAQ,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5]",true,true,400,GEN_ALL_01
21,Registrar usuario con Position mayor caracteres permitidos resultado 400,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhv...,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6,7,8,9,0]",true,true,400,GEN_ALL_01
22,Registrar usuario con TermCondition en blanco resultado 400,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhv...,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6]",,true,400,GEN_ALL_01
23,Registrar usuario con TermCondition caracteres extraños resultado 400,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhv...,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6]",#$%&,true,400,GEN_ALL_01
25,Registrar usuario con TermCondition mayor caracteres permitidos resultado 400,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhv...,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6]",truee,true,400,GEN_ALL_01
24,Registrar usuario con TermCondition menor caracteres permitidos resultado 400,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCIwMzQ5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg2MDE4NDd9.PtDWVshh8xd3XySXYpfASxB32r_vyCpP8fn61jGQxVLCpKU29tGD0kjDta_rtBeMqnOKI1yPMkIUIF0pB9QCAQ,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6]",t,true,400,GEN_ALL_01
26,Registrar usuario con TermCondition False resultado 400,1234567890,IOS,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhv...,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6]",false,true,400,GEN_ALL_01
27,Registrar usuario con PrivacyPolicy en blanco resultado 400,1234567890,AND,,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhv...,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6]",true,,400,GEN_ALL_01
28,Registrar usuario con PrivacyPolicy caracteres extraños resultado 400,1234567890,AND,C,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhv...,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6]",true,$#&%,400,GEN_ALL_01
29,Registrar usuario con PrivacyPolicy menor caracteres permitidos resultado 400,1234567890,IOS,CUST,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkzMTA5NDY5N1wiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCIwMzQ5XCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Nzg2MDE4NDd9.PtDWVshh8xd3XySXYpfASxB32r_vyCpP8fn61jGQxVLCpKU29tGD0kjDta_rtBeMqnOKI1yPMkIUIF0pB9QCAQ,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6]",true,T,400,GEN_ALL_01
30,Registrar usuario con PrivacyPolicy mayor caracteres permitidos resultado 400,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhv...,7780216a-3ccb-38e6-a457-ace9052f0fd8,"[1,2,3,4,5,6]",true,truee,400,GEN_ALL_01
31,Registrar usuario con error interno resultado 500,1234567890,AND,CUS,eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMzQ1Njc4OVwiLFwicGxhdGZvcm1cIjpcIkFORFwiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhv...,7780216a-3ccb-38e6-a457-ace9052f0fd8,0.8,true,?(/&%$#,500,GEN_ALL_02
